車次,出發時間,抵達時間,行車時間
0803,06:15,06:15,02:25
0603,06:40,06:40,02:10
0805,07:00,07:00,02:25
0109,07:20,07:20,01:45
0609,07:35,07:35,02:10
0205,07:40,07:40,01:50
1305,07:50,07:50,02:10
0809,08:00,08:00,02:25
0613,08:10,08:10,02:10
0615,08:35,08:35,02:10
1209,08:40,08:40,01:50
0813,09:00,09:00,02:25
0619,09:10,09:10,02:10
0621,09:35,09:35,02:10
1213,09:40,09:40,01:50
0817,10:00,10:00,02:25
0625,10:10,10:10,02:10
0627,10:35,10:35,02:10
1217,10:40,10:40,01:50
0821,11:00,11:00,02:25
0633,11:35,11:35,02:10
1221,11:40,11:40,01:50
0825,12:00,12:00,02:25
1637,12:10,12:10,02:10
0639,12:35,12:35,02:10
1225,12:40,12:40,01:50
0829,13:00,13:00,02:25
1643,13:10,13:10,02:10
0645,13:35,13:35,02:10
1229,13:40,13:40,01:50
0833,14:00,14:00,02:25
1649,14:10,14:10,02:10
0651,14:35,14:35,02:10
1233,14:40,14:40,01:50
0837,15:00,15:00,02:25
1655,15:10,15:10,02:10
0141,15:20,15:20,01:45
0657,15:35,15:35,02:10
1237,15:40,15:40,01:50
0841,16:00,16:00,02:25
0661,16:10,16:10,02:10
0145,16:20,16:20,01:45
0663,16:35,16:35,02:10
1241,16:40,16:40,01:50
0845,17:00,17:00,02:25
0667,17:10,17:10,02:10
0149,17:20,17:20,01:45
0669,17:35,17:35,02:10
1245,17:40,17:40,01:50
0849,18:00,18:00,02:25
0673,18:10,18:10,02:10
0153,18:20,18:20,01:45
0675,18:35,18:35,02:10
0249,18:40,18:40,01:50
1327,18:50,18:50,02:10
0853,19:00,19:00,02:25
1679,19:10,19:10,02:10
0157,19:20,19:20,01:45
0681,19:35,19:35,02:10
1253,19:40,19:40,01:50
0857,20:00,20:00,02:25
1685,20:10,20:10,02:10
0161,20:20,20:20,01:45
0687,20:35,20:35,02:10
1257,20:40,20:40,01:50
0861,21:00,21:00,02:25
1691,21:10,21:10,02:10
0693,21:30,21:30,02:10
1293,21:35,21:35,01:55
0333,21:45,21:45,02:10
0295,22:05,22:05,01:54
